id,bb_type,bb_name,city,area_code,log_report_type,priority,outage_duration,volume
8011,8,ADSL 1,Lagos,1,68,Medium,0,7
16949,8,ADSL 1,Lagos,1,80,Medium,0,1
16949,8,ADSL 1,Lagos,1,201,Medium,0,1
4703,8,ADSL 1,Lagos,1,159,Low,2,1
4703,8,ADSL 1,Lagos,1,201,Low,2,5
4703,8,ADSL 1,Lagos,1,193,Low,2,6
4703,8,ADSL 1,Lagos,1,198,Low,2,6
16097,8,ADSL 1,Lagos,1,172,Low,0,1
16097,8,ADSL 1,Lagos,1,56,Low,0,1
17595,8,ADSL 1,Lagos,1,203,Low,2,14
17595,8,ADSL 1,Lagos,1,201,Low,2,8
17595,8,ADSL 1,Lagos,1,111,Low,2,1
17595,8,ADSL 1,Lagos,1,80,Low,2,5
17595,8,ADSL 1,Lagos,1,82,Low,2,16
15494,8,ADSL 1,Lagos,1,56,Low,0,1
15494,8,ADSL 1,Lagos,1,172,Low,0,2
15952,8,ADSL 1,Lagos,1,201,Low,1,2
15952,8,ADSL 1,Lagos,1,82,Low,1,2
15952,8,ADSL 1,Lagos,1,80,Low,1,2
15952,8,ADSL 1,Lagos,1,203,Low,1,2
9664,8,ADSL 1,Lagos,1,198,Medium,1,1
9664,8,ADSL 1,Lagos,1,76,Medium,1,1
2906,8,ADSL 1,Lagos,1,80,Medium,0,1
2906,8,ADSL 1,Lagos,1,56,Medium,0,2
2906,8,ADSL 1,Lagos,1,82,Medium,0,1
5337,8,ADSL 1,Lagos,1,201,Low,0,2
5337,8,ADSL 1,Lagos,1,193,Low,0,11
5337,8,ADSL 1,Lagos,1,80,Low,0,2
5337,8,ADSL 1,Lagos,1,71,Low,0,10
16586,8,ADSL 1,Lagos,1,80,Low,0,1
16586,8,ADSL 1,Lagos,1,82,Low,0,1
6914,8,ADSL 1,Lagos,1,68,Low,0,11
1247,8,ADSL 1,Lagos,1,82,Low,0,2
1247,8,ADSL 1,Lagos,1,80,Low,0,3
1247,8,ADSL 1,Lagos,1,201,Low,0,1
1247,8,ADSL 1,Lagos,1,56,Low,0,1
1849,8,ADSL 1,Lagos,1,82,Medium,0,2
2588,8,ADSL 1,Lagos,1,82,Low,0,9
2588,8,ADSL 1,Lagos,1,201,Low,0,5
2588,8,ADSL 1,Lagos,1,80,Low,0,15
2588,8,ADSL 1,Lagos,1,203,Low,0,5
3952,8,ADSL 1,Lagos,1,203,Low,1,6
3952,8,ADSL 1,Lagos,1,201,Low,1,7
3952,8,ADSL 1,Lagos,1,82,Low,1,4
3952,8,ADSL 1,Lagos,1,80,Low,1,6
14595,8,ADSL 1,Lagos,1,201,Medium,1,1
14595,8,ADSL 1,Lagos,1,80,Medium,1,4
14595,8,ADSL 1,Lagos,1,82,Medium,1,4
14595,8,ADSL 1,Lagos,1,203,Medium,1,2
5259,8,ADSL 1,Lagos,1,80,Low,0,1
5259,8,ADSL 1,Lagos,1,219,Low,0,1
5259,8,ADSL 1,Lagos,1,134,Low,0,1
5259,8,ADSL 1,Lagos,1,201,Low,0,2
5259,2,ADSL 2,Lagos,1,80,Low,0,1
5259,2,ADSL 2,Lagos,1,219,Low,0,1
5259,2,ADSL 2,Lagos,1,134,Low,0,1
5259,2,ADSL 2,Lagos,1,201,Low,0,2
5280,8,ADSL 1,Lagos,1,172,Low,1,2
5280,8,ADSL 1,Lagos,1,82,Low,1,6
5280,8,ADSL 1,Lagos,1,203,Low,1,1
5280,8,ADSL 1,Lagos,1,80,Low,1,4
4848,8,ADSL 1,Lagos,1,56,Low,0,3
4848,8,ADSL 1,Lagos,1,80,Low,0,16
4848,8,ADSL 1,Lagos,1,172,Low,0,2
4848,8,ADSL 1,Lagos,1,201,Low,0,12
4848,8,ADSL 1,Lagos,1,82,Low,0,2
17041,8,ADSL 1,Lagos,1,111,Low,1,2
17041,8,ADSL 1,Lagos,1,201,Low,1,3
17041,8,ADSL 1,Lagos,1,80,Low,1,7
17041,1,Fiber Ultra,Lagos,1,111,Low,1,2
17041,1,Fiber Ultra,Lagos,1,201,Low,1,3
17041,1,Fiber Ultra,Lagos,1,80,Low,1,7
1235,8,ADSL 1,Lagos,1,82,Low,1,12
1235,8,ADSL 1,Lagos,1,80,Low,1,2
1235,8,ADSL 1,Lagos,1,203,Low,1,5
1235,8,ADSL 1,Lagos,1,201,Low,1,1
2240,8,ADSL 1,Cairo,10,167,Low,0,10
2240,8,ADSL 1,Cairo,10,51,Low,0,10
17255,2,ADSL 2,Johannesburg,100,312,Medium,0,2
17255,2,ADSL 2,Johannesburg,100,232,Medium,0,2
17255,2,ADSL 2,Johannesburg,100,307,Medium,0,1
17407,2,ADSL 2,Johannesburg,100,308,Medium,0,1
17407,2,ADSL 2,Johannesburg,100,312,Medium,0,2
17407,2,ADSL 2,Johannesburg,100,307,Medium,0,1
17407,2,ADSL 2,Johannesburg,100,230,Medium,0,1
17407,2,ADSL 2,Johannesburg,100,228,Medium,0,1
17407,2,ADSL 2,Johannesburg,100,232,Medium,0,1
17407,2,ADSL 2,Johannesburg,100,310,Medium,0,1
16056,2,ADSL 2,Johannesburg,100,309,Medium,0,1
16056,2,ADSL 2,Johannesburg,100,312,Medium,0,2
16056,2,ADSL 2,Johannesburg,100,307,Medium,0,1
16056,2,ADSL 2,Johannesburg,100,229,Medium,0,1
6395,2,ADSL 2,Johannesburg,100,312,Medium,0,2
6395,2,ADSL 2,Johannesburg,100,232,Medium,0,2
6395,2,ADSL 2,Johannesburg,100,307,Medium,0,2
6395,2,ADSL 2,Johannesburg,100,227,Medium,0,3
3375,2,ADSL 2,Johannesburg,100,307,Medium,0,2
3375,2,ADSL 2,Johannesburg,100,232,Medium,0,5
3375,2,ADSL 2,Johannesburg,100,312,Medium,0,5
3375,2,ADSL 2,Johannesburg,100,227,Medium,0,3
2653,2,ADSL 2,Johannesburg,100,307,Critical,0,2
2653,2,ADSL 2,Johannesburg,100,312,Critical,0,2
8774,2,ADSL 2,Johannesburg,100,312,Critical,0,1
8774,2,ADSL 2,Johannesburg,100,307,Critical,0,1
1308,2,ADSL 2,Johannesburg,100,230,Medium,0,1
1308,2,ADSL 2,Johannesburg,100,228,Medium,0,1
